RO_wout20min_mitotic	RO_wout20min_mitotic

==proc_RO_wout20min_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series003_Crop003Batch_BlindDeblur001.tif
count	x-corner	y-corner	area	mean	min	max	area*mean	area*mean-area*min	max-min
9	128	134	49	2497.9184	746	9200	122398	85844	8454
10	164	135	49	3269.2245	1246	9973	160192	99138	8727
11	97	136	49	3908.2857	999	11459	191506	142555	10460
12	175	137	49	3424.2857	1094	10307	167790	114184	9213
13	213	139	49	2616.8776	799	9011	128227	89076	8212
14	155	140	49	2860.6939	937	9531	140174	94261	8594
15	201	144	49	2975.7347	876	9979	145811	102887	9103
16	85	145	49	3155.4694	749	10942	154618	117917	10193
17	101	145	49	3519.6735	1273	7836	172464	110087	6563
18	213	151	49	2081.4286	813	7453	101990	62153	6640
19	117	154	49	3083.3061	893	8967	151082	107325	8074
20	138	157	49	2024.5918	936	3929	99205	53341	2993
21	187	157	49	2776.7143	831	8123	136059	95340	7292
22	128	159	49	4372.4898	1078	15701	214252	161430	14623
23	204	159	49	2418.3061	804	8214	118497	79101	7410
24	159	162	49	2933.7755	1066	10220	143755	91521	9154
25	178	163	49	3204.7959	1043	10792	157035	105928	9749
26	146	167	49	3206.1633	1136	10877	157102	101438	9741
27	137	167	49	3033.5306	915	9578	148643	103808	8663
28	89	172	49	2417.5102	899	7335	118458	74407	6436
29	178	172	49	3105.551	1043	9974	152172	101065	8931
30	211	176	49	3047.4082	862	10284	149323	107085	9422
31	142	178	49	3180.2041	958	10647	155830	108888	9689
32	203	181	49	2668.9184	907	8712	130777	86334	7805
33	186	185	49	2173.5714	926	5527	106505	61131	4601
34	178	190	49	2900.3673	939	9395	142118	96107	8456
35	210	195	49	4104.3061	1119	11034	201111	146280	9915
36	218	195	49	3149.7959	730	10540	154340	118570	9810
37	193	215	49	2314.3469	834	6560	113403	72537	5726
38	212	220	49	2539.3673	786	6377	124429	85915	5591
39	147	234	49	2831.8571	744	9747	138761	102305	9003
40	194	239	49	2241.6735	691	7915	109842	75983	7224
41	145	243	49	2704.6327	754	8612	132527	95581	7858
42	196	247	49	2378.2857	665	9817	116536	83951	9152
43	183	247	49	2526.898	631	7747	123818	92899	7116
44	149	253	49	1830.3265	742	5701	89686	53328	4959

==proc_RO_wout20min_CN-GFP_CC-Y3_CA-Dy649_top-dwn_4.lif - Series028_Crop001Batch_BlindDeblur001.tif
count	x-corner	y-corner	area	mean	min	max	area*mean	area*mean-area*min	max-min
1	137	51	49	3562.1224	584	11614	174544	145928	11030
2	173	55	49	3608.6939	813	12751	176826	136989	11938
3	211	61	49	4093.6735	1068	11928	200590	148258	10860
4	139	64	49	3445.0204	1023	8533	168806	118679	7510
5	170	64	49	2725.4286	949	8408	133546	87045	7459
6	157	70	49	2886.551	706	9826	141441	106847	9120
7	164	72	49	3809.102	789	10256	186646	147985	9467
8	187	78	49	5167.4082	1250	10331	253203	191953	9081
9	83	79	49	3901.7755	658	16503	191187	158945	15845
10	114	79	49	5223.6735	1080	16507	255960	203040	15427
11	146	85	49	3866.1224	843	11282	189440	148133	10439
12	103	87	49	2872.0816	817	9577	140732	100699	8760
13	130	89	49	3743.1633	968	11162	183415	135983	10194
14	54	91	49	5787.8163	688	17169	283603	249891	16481
15	200	96	49	3901.102	811	12870	191154	151415	12059
16	135	96	49	4421.1429	1156	14108	216636	159992	12952
17	193	97	49	4849.1633	934	14519	237609	191843	13585
18	77	98	49	3667.1837	858	10673	179692	137650	9815
19	134	105	49	6388.5918	1907	15103	313041	219598	13196
20	202	107	49	4068.449	1355	11446	199354	132959	10091
21	81	111	49	2986.0204	783	9817	146315	107948	9034
22	136	112	49	3182	1013	9153	155918	106281	8140
23	195	113	49	3277.3878	919	10448	160592	115561	9529
24	90	114	49	4140.2653	684	15626	202873	169357	14942
25	171	116	49	2884.0204	689	9727	141317	107556	9038
26	158	117	49	2952.2041	915	6961	144658	99823	6046
27	71	118	49	3995.551	732	13780	195782	159914	13048
28	146	120	49	4353.3265	1224	12938	213313	153337	11714
29	106	120	49	2903.4898	938	8397	142271	96309	7459
30	221	127	49	3744.7755	668	13008	183494	150762	12340
31	94	130	49	3042.7551	604	10302	149095	119499	9698
32	106	130	49	3080.3878	695	10023	150939	116884	9328
33	199	131	49	4271.3673	840	16783	209297	168137	15943
34	104	143	49	3540	996	13382	173460	124656	12386
35	71	147	49	3197.7347	912	10139	156689	112001	9227
36	96	147	49	4179.2857	1234	11973	204785	144319	10739
37	105	150	49	4408.0816	693	15867	215996	182039	15174
38	110	169	49	4197.6531	936	16627	205685	159821	15691
39	108	187	49	4515.2653	903	17033	221248	177001	16130
40	83	187	49	4445.2653	916	16039	217818	172934	15123
41	130	189	49	6298.1429	988	23827	308609	260197	22839
42	101	189	49	3774.7959	1337	10948	184965	119452	9611
43	85	194	49	3422.1429	776	10995	167685	129661	10219
44	107	200	49	4743.9184	1175	13108	232452	174877	11933
45	141	203	49	3808.2653	924	12188	186605	141329	11264
46	145	210	49	3366.9796	604	12374	164982	135386	11770
47	92	212	49	4385.2857	996	16117	214879	166075	15121
48	167	214	49	2728.6735	462	9078	133705	111067	8616
49	93	222	49	4309.7551	851	15533	211178	169479	14682

==proc_RO_wout20min_CN-GFP_CC-Y3_CA-Dy649_top-dwn_4.lif - Series030_Crop001Batch_BlindDeblur001.tif
count	x-corner	y-corner	area	mean	min	max	area*mean	area*mean-area*min	max-min
1	112	40	49	963.1837	535	3015	47196	20981	2480
2	180	42	49	1655.2857	670	3157	81109	48279	2487
3	137	46	49	1870.102	723	5727	91635	56208	5004
4	85	52	49	1730.8571	601	3694	84812	55363	3093
