condition	cellID	centromere	CENPC	CENPN	cenpn_norm	cenpc_norm
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	31	173909	46556	0.2761252538621217	0.7083452870438889
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop001Batch_BlindDeblur001.tif	32	221330	50646	0.3003831859932343	0.9014948184477165
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	1	289403	102309	0.6067982343281169	1.1787616000687864
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	2	217893	97266	0.5768880260794126	0.8874956421453408
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	3	271726	81390	0.4827269183743897	1.1067617631478976
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	4	240883	120956	0.7173942393278373	0.9811357536354822
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	5	172519	107909	0.6400120289330632	0.7026837057054245
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	6	257728	156919	0.9306920420738525	1.0497467879134914
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	7	203942	90062	0.5341608517340495	0.8306721016756164
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	8	247188	95153	0.5643557496507962	1.006816523663553
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	9	259578	128146	0.760038379186688	1.0572819860977787
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	10	338691	222668	1.3206516459096769	1.3795155720185945
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	11	180587	119616	0.7094466527616538	0.7355453159491157
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	12	220944	143329	0.8500892798093488	0.8999226095292652
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	14	248718	175456	1.0406356332509756	1.0130483362159632
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	15	210088	107689	0.638707201287869	0.8557052519678483
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	16	214333	113494	0.6731368580167463	0.8729954769907126
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	17	226309	265795	1.5764393816110198	0.9217746842636979
nowout	==proc_RO_nowout_CN-GFP_CC-Y3_CA-Dy649_top-dwn_1.lif - Series001_Crop002Batch_BlindDeblur001.tif	18	194829	81231	0.48178388384899923	0.7935541227278279
